"id","active","show_operations","show_reserved","color","use_create_lots","default_location_dest_id/id","default_location_src_id/id","warehouse_id/id","name","barcode_nomenclature_id/id","sequence","sequence_id/id","show_entire_packs","code","return_picking_type_id/id","delivery_manager","use_existing_lots"
"mrp.picking_type_manufacturing","True","False","True","0","True","stock.stock_location_stock","mrp_repair_order.stock_location_manufacture","stock.warehouse0","Fabrication",,"5","mrp.sequence_mrp_prod","False","Opération de fabrication",,"False","False"
"stock.stock_picking_type_custom_out","True","False","True","0","True","stock.stock_location_customers","stock.stock_location_stock","stock.warehouse0","Livraison tournée",,"0","__export__.ir_sequence_73","False","Clients","stock.picking_type_in","True","True"
"stock.stock_picking_type_custom_in","True","True","True","0","True","stock.stock_location_stock","stock.stock_location_customers","stock.warehouse0","Enlèvement tournée",,"0","__export__.ir_sequence_88","False","Clients","stock.picking_type_out","False","True"
"mrp_repair_order.picking_type_manufacture","True","False","True","0","False","mrp_repair_order.stock_location_manufacture","stock.stock_location_stock","stock.warehouse0","Préparation atelier",,"0","stock.seq_picking_internal","False","Interne","stock.picking_type_internal","False","True"
